      EF                  x                  y                  z                J0_x               J0_y               J0_z               J1_x               J1_y               J1_z               J2_x               J2_y               J2_z      
      12.034800           0.003824          -0.009283          52.363372           0.000040          -0.000169          -1.882229          -0.000059           0.000281           9.545910           0.003844          -0.009395          44.699691
      12.035000           0.003824          -0.009283          52.363372           0.000040          -0.000169          -1.882229          -0.000059           0.000281           9.545910           0.003844          -0.009395          44.699691
      12.035200           0.003824          -0.009283          52.363372           0.000040          -0.000169          -1.882229          -0.000059           0.000281           9.545910           0.003844          -0.009395          44.699691
      12.035400           0.003824          -0.009283          52.363372           0.000040          -0.000169          -1.882229          -0.000059           0.000281           9.545910           0.003844          -0.009395          44.699691
      12.035600           0.003824          -0.009283          52.363372           0.000040          -0.000169          -1.882229          -0.000059           0.000281           9.545910           0.003844          -0.009395          44.699691
      12.035800           0.003824          -0.009283          52.363372           0.000040          -0.000169          -1.882229          -0.000059           0.000281           9.545910           0.003844          -0.009395          44.699691
      12.036000           0.003824          -0.009283          52.363372           0.000040          -0.000169          -1.882229          -0.000059           0.000281           9.545910           0.003844          -0.009395          44.699691
      12.036200           0.003824          -0.009283          52.363372           0.000040          -0.000169          -1.882229          -0.000059           0.000281           9.545910           0.003844          -0.009395          44.699691
      12.036400           0.004645          -0.010395          60.171075           0.000039          -0.000166          -1.879634          -0.000061           0.000282           9.683456           0.004666          -0.010511          52.367254
      12.036600           0.004697          -0.010596          80.131225           0.000039          -0.000166          -1.880653          -0.000061           0.000282           9.764340           0.004719          -0.010713          72.247538
